Pattern Name,OM,Burst Length,FSN,Start Address,Data,R/W,
TX_RFFE11_PhaseShift,1,0,0,0x5912,0x85,w,pulse_signal(event0)
,1,0,0,0x590F,0x4,w,Wait 1950
,1,0,0,0x5912,0x85,w,
,1,0,0,0x590F,0x5,w,Wait 1950
,1,0,0,0x5912,0x85,w,
,1,0,0,0x590F,0x6,w,Wait 1950
,1,0,0,0x5912,0x85,w,
,1,0,0,0x590F,0x7,w,Wait 1950
,1,0,0,0x5912,0xC5,w,
,1,0,0,0x590F,0x4,w,Wait 1950
,1,0,0,0x5912,0xC5,w,
,1,0,0,0x590F,0x5,w,Wait 1950
,1,0,0,0x5912,0xC5,w,
,1,0,0,0x590F,0x6,w,Wait 1950
,1,0,0,0x5912,0xC5,w,
,1,0,0,0x590F,0x7,w,Wait 1950
,1,0,0,0x5912,0x85,w,
,1,0,0,0x590F,0x4,w,
